dev-1  | [api] [2026-01-13T20:20:13.157Z] DEBUG: currentSection from frontend=language, actualSection detected=language
dev-1  | [api] [2026-01-13T20:22:53.911Z] [MULTI-ENTRY] Checking section: actualSection=skills, userSaidNoToSection=true
dev-1  | [api] [2026-01-13T20:22:54.464Z] DEBUG: currentSection from frontend=references, actualSection detected=skills
dev-1  | [api] [2026-01-13T20:22:55.124Z] [MULTI-ENTRY] Checking section: actualSection=skills, userSaidNoToSection=true
dev-1  | [api] [2026-01-13T20:22:55.679Z] DEBUG: currentSection from frontend=references, actualSection detected=skills
dev-1  | [api] [2026-01-13T20:22:56.531Z] [MULTI-ENTRY] Checking section: actualSection=skills, userSaidNoToSection=true
dev-1  | [api] [2026-01-13T20:22:57.080Z] DEBUG: currentSection from frontend=references, actualSection detected=references
dev-1  | [api] [2026-01-13T20:22:59.747Z] [MULTI-ENTRY] Checking section: actualSection=references, userSaidNoToSection=true
dev-1  | [api] [2026-01-13T20:23:13.981Z] DEBUG: currentSection from frontend=language, actualSection detected=language
dev-1  | [api] [2026-01-13T20:23:14.785Z] [MULTI-ENTRY] Checking section: actualSection=language, userSaidNoToSection=false
dev-1  | [api] [2026-01-13T20:23:15.329Z] DEBUG: currentSection from frontend=language, actualSection detected=language
dev-1  | [api] [2026-01-13T20:23:15.934Z] [MULTI-ENTRY] Checking section: actualSection=language, userSaidNoToSection=false
dev-1  | [api] [2026-01-13T20:23:16.480Z] DEBUG: currentSection from frontend=language, actualSection detected=language
dev-1  | [api] [2026-01-13T20:23:17.032Z] [MULTI-ENTRY] Checking section: actualSection=language, userSaidNoToSection=false
dev-1  | [api] [2026-01-13T20:23:17.583Z] DEBUG: currentSection from frontend=language, actualSection detected=language
dev-1  | [api] [2026-01-13T20:23:18.549Z] [MULTI-ENTRY] Checking section: actualSection=language, userSaidNoToSection=false
dev-1  | [api] [2026-01-13T20:23:19.095Z] DEBUG: currentSection from frontend=language, actualSection detected=language
dev-1  | [api] [2026-01-13T20:23:20.192Z] [MULTI-ENTRY] Checking section: actualSection=language, userSaidNoToSection=false
dev-1  | [api] [2026-01-13T20:23:26.254Z] DEBUG: currentSection from frontend=language, actualSection detected=work
dev-1  | [api] [2026-01-13T20:23:27.140Z] [MULTI-ENTRY] Checking section: actualSection=work, userSaidNoToSection=false
dev-1  | [api] [2026-01-13T20:23:27.140Z] [MULTI-ENTRY] askedResp=false, providedResp=false, askedAddAnother=false
dev-1  | [api] [2026-01-13T20:23:27.140Z] [MULTI-ENTRY] lastAssistantMessage (first 200 chars): Awesome! Now we have your personal information. 
dev-1  | [api] [2026-01-13T20:23:27.140Z] [MULTI-ENTRY] userMessage: yes
dev-1  | [api] [2026-01-13T20:23:28.195Z] DEBUG: currentSection from frontend=language, actualSection detected=work
dev-1  | [api] [2026-01-13T20:23:28.844Z] [MULTI-ENTRY] Checking section: actualSection=work, userSaidNoToSection=false
dev-1  | [api] [2026-01-13T20:23:28.844Z] [MULTI-ENTRY] askedResp=false, providedResp=true, askedAddAnother=false
dev-1  | [api] [2026-01-13T20:23:28.844Z] [MULTI-ENTRY] lastAssistantMessage (first 200 chars): Great! **What company did you work for?**
dev-1  | [api] [2026-01-13T20:23:28.844Z] [MULTI-ENTRY] userMessage: Central Perk Coffee
dev-1  | [api] [2026-01-13T20:23:29.910Z] DEBUG: currentSection from frontend=language, actualSection detected=work
dev-1  | [api] [2026-01-13T20:23:31.022Z] [MULTI-ENTRY] Checking section: actualSection=work, userSaidNoToSection=false
dev-1  | [api] [2026-01-13T20:23:31.022Z] [MULTI-ENTRY] askedResp=false, providedResp=false, askedAddAnother=false
dev-1  | [api] [2026-01-13T20:23:31.022Z] [MULTI-ENTRY] lastAssistantMessage (first 200 chars): Thank you! **What was your job title at Central Perk Coffee?**
dev-1  | [api] [2026-01-13T20:23:31.022Z] [MULTI-ENTRY] userMessage: Waitress
dev-1  | [api] [2026-01-13T20:23:32.087Z] DEBUG: currentSection from frontend=language, actualSection detected=language
dev-1  | [api] [2026-01-13T20:23:32.954Z] [MULTI-ENTRY] Checking section: actualSection=language, userSaidNoToSection=false
dev-1  | [api] [2026-01-13T20:23:34.014Z] DEBUG: currentSection from frontend=language, actualSection detected=work
dev-1  | [api] [2026-01-13T20:23:36.588Z] [MULTI-ENTRY] Checking section: actualSection=work, userSaidNoToSection=false
dev-1  | [api] [2026-01-13T20:23:36.588Z] [MULTI-ENTRY] askedResp=true, providedResp=true, askedAddAnother=false
dev-1  | [api] [2026-01-13T20:23:36.588Z] [MULTI-ENTRY] lastAssistantMessage (first 200 chars): Thank you! **What were your responsibilities as a waitress at Central Perk Coffee?**
dev-1  | [api] [2026-01-13T20:23:36.588Z] [MULTI-ENTRY] userMessage: create some responsibilities for a waitress
dev-1  | [api] [2026-01-13T20:29:46.056Z] DEBUG: currentSection from frontend=language, actualSection detected=language
dev-1  | [api] [2026-01-13T20:29:47.080Z] [MULTI-ENTRY] Checking section: actualSection=language, userSaidNoToSection=false
